,Symbol,2019Q3 Time,2019Q3 Date
0,A,TAS,2019-08-14
1,AAL,TAS,2019-07-25
2,AAP,TAS,2019-08-13
3,AAPL,TAS,2019-07-30
4,ABBV,TAS,2019-07-26
5,ABC,TAS,2019-08-01
6,ABMD,TAS,2019-08-01
7,ABT,TAS,2019-07-17
8,ACN,TAS,2019-09-26
9,ADBE,TAS,2019-09-17
10,ADI,TAS,2019-08-21
11,ADM,TAS,2019-08-01
12,ADP,TAS,2019-07-31
13,ADS,TAS,2019-07-18
14,ADSK,TAS,2019-08-27
15,AEE,TAS,2019-08-02
16,AEP,TAS,2019-07-25
17,AES,TAS,2019-08-06
18,AFL,TAS,2019-07-25
19,AGN,TAS,2019-08-06
20,AIG,TAS,2019-08-07
21,AIV,TAS,2019-08-01
22,AIZ,After Market Close,2019-08-06
23,AJG,TAS,2019-07-25
24,AKAM,TAS,2019-07-30
25,ALB,TAS,2019-08-07
26,ALGN,TAS,2019-07-24
27,ALK,TAS,2019-07-25
28,ALL,TAS,2019-07-30
29,ALLE,TAS,2019-07-25
30,ALXN,TAS,2019-07-24
31,AMAT,TAS,2019-08-15
32,AMCR,NaN,NaN
33,AMD,TAS,2019-07-30
34,AME,TAS,2019-07-30
35,AMGN,TAS,2019-07-30
36,AMP,TAS,2019-07-24
37,AMT,TAS,2019-07-31
38,AMZN,TAS,2019-07-25
39,ANET,TAS,2019-08-01
40,ANSS,TAS,2019-08-05
41,ANTM,TAS,2019-07-24
42,AON,TAS,2019-07-26
43,AOS,TAS,2019-07-30
44,APA,TAS,2019-07-31
45,APD,TAS,2019-07-25
46,APH,TAS,2019-07-24
47,APTV,TAS,2019-07-31
48,ARE,TAS,2019-07-29
49,ATO,TAS,2019-08-07
50,ATVI,TAS,2019-08-08
51,AVB,TAS,2019-07-31
52,AVGO,TAS,2019-09-12
53,AVY,TAS,2019-07-23
54,AWK,TAS,2019-07-31
55,AXP,TAS,2019-07-19
56,AZO,Before Market Open,2019-09-24
57,BA,TAS,2019-07-24
58,BAC,Multi,Multi
59,BAX,TAS,2019-07-25
60,BBY,TAS,2019-08-29
61,BDX,TAS,2019-08-06
62,BEN,NaN,NaN
