,Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%),Earnings Date
3,A,Agilent Technologies Inc,After Market Close,0.62,,,2020-05-21
0,AA,Alcoa Corp,TAS,-0.24,-0.23,4.17,2020-04-22
9,AABA,Altaba Inc,After Market Close,,,,2020-05-01
8,AAL,American Airlines Group Inc,Before Market Open,-2.26,,,2020-04-30
8,AAMC,Altisource Asset Management Corp,Before Market Open,,,,2020-05-06
38,AAN,Aaron's Inc,Before Market Open,0.83,,,2020-05-07
29,AAOI,Applied Optoelectronics Inc,After Market Close,-0.38,,,2020-05-07
0,AAON,Aaon Inc,Before Market Open,0.35,,,2020-05-25
0,AAP,Advance Auto Parts Inc,Before Market Open,1.75,,,2020-05-20
21,AAPL,Apple Inc,After Market Close,2.28,,,2020-04-30
16,AAT,American Assets Trust Inc,After Market Close,0.25,,,2020-04-28
29,AAWW,Atlas Air Worldwide Holdings Inc,Before Market Open,0.05,,,2020-04-29
48,AAXN,Axon Enterprise Inc,After Market Close,0.18,,,2020-05-07
13,AB,AllianceBernstein Holding LP,Before Market Open,0.59,,,2020-04-28
2,ABBV,AbbVie Inc,Before Market Open,2.23,,,2020-05-01
52,ABC,AmerisourceBergen Corp,Before Market Open,2.27,,,2020-05-07
10,ABCB,Ameris Bancorp,TAS,0.76,0.61,-19.74,2020-04-23
9,ABCE,ABCO Energy Inc,Time Not Supplied,,,,2020-05-11
1,ABG,Asbury Automotive Group Inc,Before Market Open,1.81,,,2020-05-05
9,ABIO,ARCA Biopharma Inc,Time Not Supplied,-2.04,,,2020-05-06
3,ABM,ABM Industries Inc,Time Not Supplied,0.31,,,2020-06-03
1,ABMC,American Bio Medica Corp,Time Not Supplied,,,,2020-04-16
5,ABMC,American Bio Medica Corp,Time Not Supplied,,,,2020-05-14
4,ABMC,American Bio Medica Corp,Time Not Supplied,,,,2020-05-18
37,ABMD,Abiomed Inc,Before Market Open,0.94,,,2020-04-30
2,ABR,Arbor Realty Trust Inc,Before Market Open,0.25,,,2020-05-08
5,ABT,Abbott Laboratories,TAS,0.58,0.65,12.07,2020-04-16
22,ABTX,Allegiance Bancshares Inc,Before Market Open,0.35,,,2020-04-30
5,ABUS,Arbutus Biopharma Corp,After Market Close,,,,2020-05-04
4,ACA,Arcosa Inc,After Market Close,0.51,,,2020-04-28
53,ACAD,ACADIA Pharmaceuticals Inc,After Market Close,-0.48,,,2020-05-07
8,ACBI,Atlantic Capital Bancshares Inc,TAS,0.25,0.1,-60.0,2020-04-23
4,ACC,American Campus Communities Inc,TAS,0.23,0.58,152.17,2020-04-20
18,ACCO,ACCO Brands Corp,After Market Close,0.09,,,2020-05-04
