,Symbol,2020Q2 Time,2020Q2 Date,2020Q2 Prev Date,2020Q2 Prev Open,2020Q2 Prev High,2020Q2 Prev Low,2020Q2 Prev Close,2020Q2 Earn Date,2020Q2 Earn Open,2020Q2 Earn High,2020Q2 Earn Low,2020Q2 Earn Close,2020Q2 Next Date,2020Q2 Next Open,2020Q2 Next High,2020Q2 Next Low,2020Q2 Next Close,2020Q2 Before Open %Change,2020Q2 After Close %Change
0,A,After Market Close,2020-05-21,NaN,NaN,NaN,NaN,NaN,2020-05-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,AAL,Before Market Open,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
2,AAP,Before Market Open,2020-05-20,NaN,NaN,NaN,NaN,NaN,2020-05-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
3,AAPL,After Market Close,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
4,ABBV,Before Market Open,2020-05-01,NaN,NaN,NaN,NaN,NaN,2020-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
5,ABC,Before Market Open,2020-05-07,NaN,NaN,NaN,NaN,NaN,2020-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
6,ABMD,Before Market Open,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
7,ABT,TAS,2020-04-16,2020-04-15,90.01000213623047,91.9000015258789,88.51000213623047,90.94000244140625,2020-04-16,92.5999984741211,96.98999786376953,91.13999938964844,96.0,2020-04-17,97.44999694824219,97.75,94.23999786376953,96.01000213623047,1.83,1.51
8,ACN,Before Market Open,2020-06-25,NaN,NaN,NaN,NaN,NaN,2020-06-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
9,ADBE,After Market Close,2020-06-11,NaN,NaN,NaN,NaN,NaN,2020-06-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
10,ADI,TAS,2020-05-20,NaN,NaN,NaN,NaN,NaN,2020-05-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
11,ADM,After Market Close,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
12,ADP,Before Market Open,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
13,ADS,TAS,2020-04-23,2020-04-22,37.54999923706055,37.970001220703125,35.720001220703125,36.68000030517578,2020-04-23,36.689998626708984,41.25,35.59000015258789,40.38999938964844,2020-04-24,40.790000915527344,42.439998626708984,38.75,40.400001525878906,0.03,0.99
14,ADSK,Time Not Supplied,2020-05-21,NaN,NaN,NaN,NaN,NaN,2020-05-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
15,AEE,After Market Close,2020-05-11,NaN,NaN,NaN,NaN,NaN,2020-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
16,AEP,Before Market Open,2020-05-06,NaN,NaN,NaN,NaN,NaN,2020-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
17,AES,Before Market Open,2020-05-07,NaN,NaN,NaN,NaN,NaN,2020-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
18,AFL,After Market Close,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
19,AGN,Before Market Open,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
20,AIG,After Market Close,2020-05-04,NaN,NaN,NaN,NaN,NaN,2020-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
21,AIV,After Market Close,2020-05-07,NaN,NaN,NaN,NaN,NaN,2020-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
22,AIZ,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
23,AJG,After Market Close,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
24,AKAM,After Market Close,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
25,ALB,After Market Close,2020-05-06,NaN,NaN,NaN,NaN,NaN,2020-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
26,ALGN,After Market Close,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
27,ALK,Before Market Open,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
28,ALL,After Market Close,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
29,ALLE,TAS,2020-04-23,2020-04-22,92.33000183105469,93.16000366210938,91.0999984741211,92.97000122070312,2020-04-23,94.58000183105469,98.29000091552734,92.12000274658203,95.12999725341797,2020-04-24,94.76000213623047,96.79000091552734,93.37000274658203,96.56999969482422,1.73,-0.39
30,ALXN,Before Market Open,2020-05-06,NaN,NaN,NaN,NaN,NaN,2020-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
31,AMAT,After Market Close,2020-05-14,NaN,NaN,NaN,NaN,NaN,2020-05-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
32,AMCR,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
33,AMD,After Market Close,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
34,AME,Before Market Open,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
35,AMGN,After Market Close,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
36,AMP,After Market Close,2020-05-06,NaN,NaN,NaN,NaN,NaN,2020-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
37,AMT,Before Market Open,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
38,AMZN,After Market Close,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
39,ANET,After Market Close,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
40,ANSS,After Market Close,2020-05-06,NaN,NaN,NaN,NaN,NaN,2020-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
41,ANTM,TAS,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
42,AON,Multi,Multi,NaN,NaN,NaN,NaN,NaN,Multi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
