,0,1,2,3,4,5,6,7,8
0,AON,TAS,2020-05-01,TAS,2020-05-01,,,,
1,BAC,Before Market Open,2020-04-15,TAS,2020-04-23,,,,
2,CTVA,Before Market Open,2020-05-07,Before Market Open,2020-05-07,,,,
3,DHR,TAS,2020-05-07,TAS,2020-05-07,,,,
4,EMR,TAS,2020-04-21,TAS,2020-04-21,,,,
5,EXPE,Time Not Supplied,2020-04-30,Time Not Supplied,2020-04-30,,,,
6,HWM,TAS,2020-04-14,TAS,2020-05-05,,,,
7,KMX,TAS,2020-04-02,Before Market Open,2020-06-19,,,,
8,MOS,Time Not Supplied,2020-05-04,After Market Close,2020-05-04,TAS,2020-05-05,,
9,NBL,Before Market Open,2020-05-01,Before Market Open,2020-05-08,,,,
10,NOW,After Market Close,2020-04-29,After Market Close,2020-04-29,,,,
11,NWSA,Time Not Supplied,2020-05-07,Time Not Supplied,2020-05-07,,,,
12,PGR,TAS,2020-04-15,After Market Close,2020-05-05,Before Market Open,2020-05-20,Before Market Open,2020-06-10
13,PVH,TAS,2020-04-01,Time Not Supplied,2020-05-27,,,,
14,STZ,TAS,2020-04-03,Before Market Open,2020-06-26,,,,
15,WBA,TAS,2020-04-02,TAS,2020-06-25,,,,
16,XRX,After Market Close,2020-04-22,After Market Close,2020-04-24,,,,
