,Symbol,2019Q1 %Change,2019Q2 %Change,2019Q3 %Change,2019Q4 %Change,2020Q1 %Change,Buy Straddle?,2020Q2 Date,2020Q2 %Change,2020Q2 Success
0,A,-1.13,-11.38,9.68,-2.11,-0.19,3 no,2020-05-21,,NaN
1,AAL,8.25,-3.77,1.04,3.46,0.26,3 no,2020-04-30,,NaN
2,AAP,-0.68,2.72,-7.99,-6.44,8.83,1 yes,2020-05-20,,NaN
3,AAPL,5.54,4.59,3.66,1.64,2.13,3 no,2020-04-30,,NaN
4,ABBV,-3.92,1.75,1.47,1.47,2.94,3 no,2020-05-01,,NaN
5,ABC,2.48,2.9,4.28,1.92,-0.59,3 no,2020-05-07,,NaN
6,ABMD,5.87,-16.27,-20.05,4.07,-8.03,1 yes,2020-04-30,,NaN
7,ABT,-1.38,1.04,3.28,-0.76,1.17,3 no,2020-04-16,1.83,no
8,ACN,2.67,-2.46,-1.47,-1.8,-0.61,3 no,2020-06-25,,NaN
9,ADBE,-3.61,3.69,-3.28,2.66,9.78,3 no,2020-06-11,,NaN
10,ADI,0.84,-1.93,-1.17,0.68,5.47,3 no,2020-05-20,,NaN
11,ADM,-3.51,2.0,-0.44,1.53,4.44,3 no,2020-04-29,,NaN
12,ADP,2.24,-2.06,4.24,-2.47,-3.62,3 no,2020-04-29,,NaN
13,ADS,-8.28,-2.91,1.0,-6.27,-3.36,3 no,2020-04-23,0.99,no
14,ADSK,2.92,-5.23,-12.5,0.54,-3.37,3 no,2020-05-21,,NaN
15,AEE,-1.94,-0.38,0.45,-0.7,1.4,3 no,2020-05-11,,NaN
16,AEP,-0.49,0.75,-0.38,0.35,-0.53,3 no,2020-05-06,,NaN
17,AES,-1.27,-0.59,-1.9,2.5,-12.52,3 no,2020-05-07,,NaN
18,AFL,-0.65,-0.51,-0.11,0.08,0.94,3 no,2020-04-29,,NaN
19,AGN,-5.67,-1.91,0.32,0.39,0.18,3 no,2020-05-05,,NaN
20,AIG,-0.96,7.71,4.61,-1.83,2.75,3 no,2020-05-04,,NaN
21,AIV,-0.63,-0.04,0.14,-0.16,-0.24,3 no,2020-05-07,,NaN
22,AIZ,0.75,2.89,1.17,0.28,-0.34,3 no,,,NaN
23,AJG,0.39,-0.54,-0.27,0.29,2.79,3 no,2020-04-30,,NaN
24,AKAM,1.47,7.43,1.15,1.7,3.71,3 no,2020-04-28,,NaN
25,ALB,6.98,-5.04,10.53,1.38,-0.38,2 maybe,2020-05-06,,NaN
26,ALGN,-5.99,-1.0,-20.31,9.1,-4.92,1 yes,2020-04-29,,NaN
27,ALK,3.15,-0.12,-1.28,0.57,0.81,3 no,2020-05-05,,NaN
28,ALL,2.17,1.0,3.4,-0.69,0.93,3 no,2020-05-05,,NaN
29,ALLE,-3.76,0.16,-5.74,4.24,-4.29,1 yes,2020-04-23,1.73,no
30,ALXN,1.89,0.7,2.11,1.73,1.06,3 no,2020-05-06,,NaN
31,AMAT,-1.74,4.06,-2.54,5.92,2.11,3 no,2020-05-14,,NaN
32,AMCR,,,,2.04,,3 no,,,NaN
33,AMD,11.64,4.78,-5.28,-0.3,-5.32,1 yes,2020-04-28,,NaN
34,AME,0.79,0.37,0.62,2.73,-1.12,3 no,2020-05-05,,NaN
